replaceable	置き換えられる、代わりのある
spark	火花、きらめき
pity	同情、哀れみ
strictly	厳密に、厳しく
brightly	明るく、輝いて
hang on	しがみつく、頑張る
look up to	を尊敬する
sympathetic	思いやりのある、共感的な
end up	最終的に～することになる
chimney	煙突
temper	気性、かんしゃく
quarrel	口論、口げんか
bark	吠える／木の皮
loyalty	忠誠、誠実
intent	意図、目的
lately	最近、近ごろ
invade	に侵入する、を侵略する
tender	優しい／世話人
map out	綿密に計画する、詳細に計画する、地図に精密に示す
spontaneous	自発的な、任意の
forgive	を許す、大目に見る
in contrast	対照的に、これに対して
fame	名声、高名
modest	控えめな、謙虚な
thumb	親指
robber	強盗、強盗罪
terribly	ひどく、ものすごく
drawer	引き出し
informal	非公式な、略式の
conclusive	決定的な、結論的な
fertilizer	肥料、化学肥料
holistic	全体論の、総体的な
sincerely	心から、真心こめて
sympathy	同情、共感
pat	軽くたたく、軽く打つ
in order to	～するために
pioneer	開拓者、先駆者
mend	を直す、修繕する
pollution	汚染、汚れ、汚染物
tightly	しっかりと、きつく
cruel	残酷な、無慈悲な
oxygen	酸素
come down with	病気などにかかる、罹患する
applause	拍手、賞賛
spectator	見物人、観客
afford to	する余裕がある
slave	奴隷
debt	借金、負債
tame	人に慣れた／飼いならす
blank	白紙の、空白の
gross	全体の、総体的な
meantime	合間に、その間に
impractical	非実用的な、実行不可能な
sturdy	たくましい、頑強な
confess	を告白する、白状する
silence	沈黙、静けさ
incredible	信じられない、信じがたい
nasty	不快な、不愉快な
envelope	封筒
ugly	醜い、見苦しい
do away with	を廃止する、除く
horrible	恐ろしい
leap in	飛び込む、急上昇する
soap	石鹸
spite	悪意、恨み
reception	応接、歓迎
noble	気高い、高貴な
capacity	容量、容積
blend	を混ぜ合わせる、を混ぜる
tuck in	押し込む、詰め込む
religious	宗教上の、信仰の
laundry	洗濯物、クリーニング店
interval	間隔、合い間
rob	から奪う、強奪する
vast	広大な、莫大な
luggage	荷物、手荷物
grief	悲しみ、深い悲しみ
kettle	やかん、湯沸かし
flock	群れ、集団
fall for	に夢中になる、騙される、引きつけられる
intend to	するように意図する
adventure	冒険
cart	荷車、荷馬車
earthquake	地震
grace	優雅さ、洗練
shell	貝殻、貝
weave	織物を織る
boast	自慢する、誇示する
knock down	を取り壊す、打ち倒す
bandage	包帯、絆創膏、ガーゼ
afterward	その後
instruct	に教える、知らせる
starve	飢える、餓死する
horizon	地平線、水平線
arrest	を逮捕する、検挙する
lay off	を解雇する、首にする
prestigious	著名な、名声のある
geography	地理、地理学
per	につき、ごとに
at face value	額面通り、表面通りの価値で
act up	あばれる、騒ぐ
beggar	乞食、物乞い
warmth	暖かさ、温もり
stabilize	固定させる、安定させる
meadow	牧草地、草原
water down	水で薄める、和らげる
fountain	噴水、泉
phase out	段階的に廃止する、撤去する
thin	薄い、痩せた
replacement	交換、置き換わり
cage	かご、おり
get past	のそばを通る、通り抜ける
what is more	さらに、その上
invitation	招待、案内
container	容器、入れ物
jealous	うらやましい、嫉妬している
marble	大理石、大理石模様
tutor	家庭教師、個別指導者
unite	を結合させる、団結する
in substance	実質上、実際には、事実上
comb	くし
fiction	創作、作り話
in the red	赤字で、赤字経営で
frank	率直な、隠さない
spectacle	光景、ありさま
eager to	したがる、熱意を持って
shed light on	に光を放つ、当てる
fanatical	熱狂的な、熱烈な
glue	接着剤
bold	勇敢な
ultimately	最後に、ついに
backyard	裏庭
roast	あぶり焼き、直火で焼くことにする
neat	きちんとした、整った
put up at	に泊まる、宿泊する
set a precedent	先例を作る、前例を作る
flash	閃光
organ	臓器、器官
kingdom	王国
outstanding	目立った、顕著な
rise and shine	起き上がる、起床する
vague	漠然とした、はっきりしない
break into tears	涙が出る、泣き出す
ankle	足首
instead	代わりに、それよりも
striking	印象的な、目立つ
harsh	厳しい、過酷な
vandalize	わざと壊す、故意に破壊する
essence	本質、真髄
pull over	車を止める、車を停止させる
calmly	落ち着いて、静かに
fortunately	運よく、幸いにも
countryside	田舎、地方
vanish	見えなくなる、消える
be akin to	に似ている、と同種である
atom	原子、微小分子
rage	激怒、憤慨
sincere	誠実な、真剣な
elder	年上の、年長の
convention	大会、会議
urgent	緊急の、急を要する
rough up	手荒く扱う、かき乱す
glorify	栄光をたたえる、賛美する
stair	階段
atlas	地図帳
invention	発明
be incongruous with	と矛盾する、と不一致である
delighted	うれしい、喜んだ
go astray	行方不明になる、堕落する
wrap	を巻き付ける、包む
shallow	浅い
bush	茂み、低木
stiff	硬い
discern	はっきり分かる、認める
seclusion	隔離、分離
discharge	排出、放電／荷を降ろす
progression	前進、進歩
wheat	小麦
weary	疲れた、疲弊した
purse	財布、ハンドバッグ
blame	非難する、咎める
employment	雇用、採用
result in	結果として～になる
fare	運賃、料金
venue	会場、場所
archaeological	考古学の、古典的な
stumbling block	障害、障害物
chill	冷たさ、寒気
distribute	を配布する、分配する
breeze	そよ風、微風
parcel	小包、包み
sew up	縫合する、縫い合わせる
prop up	添える、支える
fall back on	に頼る、信じる
weed	雑草、草取り
bless	を祝福する、に授ける
specialize in	を専門にする、に特化する
headache	頭痛
feather	羽根、羽毛
electricity	電気、電流
ladder	はしご、踏み台
freezer	冷凍庫
dawn	夜明け、暁
filament	細糸、線条
be prone to	する傾向がある、しがちである
injure	を傷つける
end up with	で終わる、の羽目になる
weep	泣く、涙を流す
peasant	農民、農夫
baggage	荷物、手荷物
deliberate	故の、意図的な
break up	別れる
endless	無限の、果てしない
pessimism	悲観的、悲観主義
give off	を放つ、放出する
contend with	と戦う、張り合う
bore	退屈させる、うんざりさせる
instance	衝動、例
villain	悪党、悪者
miserly	しみったれた、欲深い
disappointment	失望、期待外れ
peel away	むく、剥がす
under fire	攻撃を受けて、批判を受けて
complicated	複雑な、込み入った
no longer	もはやない
wrist	手首、そで口
pay regard to	を尊重する、尊敬する
apology	謝罪、言い訳
