diplomatic	外交の、外交上の
alongside	一緒に、並行して
narrative	物語、話
contamination	汚染、汚染物質
stark	正真正銘の、純粋な
refusal	拒否、拒絶
doctrine	教義、信条
organic	無農薬の、有機の
hypothesis	仮説、推測
evolutionary	進化的な、進化論の
archaeological	考古学の
subsequent	その後の、次の
contractor	請負業者、契約者
skeptical	懐疑的な、疑い深い
bribery	わいろ、賄賂
treadmill	踏み車
resume	再開する、続ける
hierarchical	階層的な、階級制の
nourishment	栄養、滋養
credibility	信頼性、信用
dissent	異議を唱える、反対する
proliferation	拡散、増殖
controversy	論争、議論
sympathetic	思いやりのある、共感的な
round up	寄せ集める、切り上げる
supposedly	たぶん、おそらく
patriotism	愛国心、忠誠心
disappearance	失踪、消滅
tragic	悲劇的な、悲劇的
implant	植え付ける、移植する
accounting	会計、計算
bout	試合、競技
hold over	を持ち越す、延期する
biased toward	に対する偏見、偏った見方
puppy	子犬、幼犬
semester	学期、学期間
refund	払い戻す、返金する
diabetes	糖尿病、高血糖症
organ	臓器、器官
prod	突く、呼び起こす
drawback	欠点、短所
prospective	予測される、期待される
pay off	全部払う、完済する
exclusively	排他的に、限定して
dosage	投与量、服用量
epic	大作、壮大な作品
consistently	一貫して、常に
believe in	を信じる、信用する
commerce	商業、商売
segment	区切り、部分
plebiscite	国民投票、普通選挙
pack up	を荷造りする、詰める
make ends meet	収支を合わせる、つじつまを合わせる
put A aside	Aを脇に置く、Aを放置する
conception	概念、考え
empathy	共感、感情移入
in hope of	への希望を抱いて、を期待して
conscience	良心、道徳心
bias	偏見、先入観
organism	生命体、生物
work out	体を鍛える、うまく行く、解決する
enzyme	酵素、生化学的触媒
circumvent	出し抜く、回避する
be tidied up	きちんと片づけた、整えた
clot	固まり、凝固塊
behavioral	行動上の、行動の
foremost	主要な、最も重要な
catalyst	触媒、刺激物
guilt	罪悪感、有罪
smooth over	丸く収める、穏便に済ます
seemingly	一見すると、表面上
dilemma	板挟み、窮地
scarcity	不足、欠乏
counterfeit	偽造する、偽造品を作る
perish	滅びる、死ぬ
expulsion	排除、除名
weed	雑草、草取り
roll up	を巻き上げる、巻く
obey	従う、服従する
prey	獲物、捕食対象
nobility	尊さ、高貴さ
inherent	本来の、固有の
fertile	肥沃な、多産の
assimilation	同化、吸収
removal	除去、取り除く
petition	嘆願、請願
reception	応接、歓迎
conceal	隠す、秘密にする
compliant	従順な、応じる
residence	住宅、居住地
protective	保護的な、保護する
initiate	始める、開始する
rebellion	反乱、暴動
convent	修道院、僧院
in person	直接に、対面で
sympathize	同情する、共感する
provoke	挑発する、引き起こす
give rise to	を生じさせる、を引き起こす
philosophical	哲学的な、思索的な
reminder	催促、注意喚起
disappointment	失望、期待外れ
ridicule	あざ笑う、嘲笑する
benevolent	慈悲深い、親切な
communal	共同の、共有の
compensation	補償、賠償
destitute	貧困の、困窮した
misfortune	不幸、災厄
level off	平らにする、水平にする
sinful	罪深い、悪い
routinely	日常的に、いつものように
medieval	中世の、時代遅れの
appreciation	感謝、称賛
rule out	を除外する、締め出す
hang on to	にしがみつく、執着する
exploit	偉業、業績
warrant	証明書、保証書
multitude	大勢、多く
designation	指定、選定
solely	単独で、専ら
mother-in-law	義理の母、義母
captivity	監禁、囚禁
forcible	強制的な、強い
fall under	支配下に入る、分類される
on the rise	上昇中で、増加中
ancestral	先祖の、祖先の
in place of	の代わりに、変わって
ruling	支配的な、主要な
favorable	好ましい、有利な
expedite	促進する、迅速化する
low frequency	低周波、低頻度
harsh	厳しい、過酷な
repay	返済する、報いる
inadequate	不十分な、不適切な
pull in	到着する、片側に寄る
surgeon	外科医、手術医
tutor	家庭教師、個別指導者
surrender	降伏する、投降する
undergraduate	大学生、学部生
conspicuous	目立った、顕著な
comprise	含む、構成する
put forth	を進める、出す
spur	刺激、触発
renovate	改修する、改装する
idealization	理想化、理想の実現
integrate	統合する、一体化する
decay	腐る、朽ちる
spite	悪意、恨み
cynical	皮肉な、冷笑的な
bleak	吹きさらしの、荒涼とした
devastation	荒廃、壊滅
keep up on	の最新状況を把握する、追いつく
portray	描く、表現する
dread	ひどく怖がる、恐れる
evoke	呼び起こす、引き起こす
come down with	病気などにかかる、罹患する
crisp	新鮮な、さっぱりした
loyalty	忠誠、誠実
tyranny	専制政治、圧政
minimal	最小限の、最低限の
adoption	採用、受け入れ
inheritance	継承、相続
reside	住む、居住する
blend in	溶け合う、調和する
moderately	適度に、適切に
comprehend	理解する、把握する
formidable	恐ろしい、手ごわい
magnitude	大きさ、規模
sexuality	性的関心、性的志向
paramount	最高の、最重要の
discord	不一致、不和
continuation	継続、持続
violation	違反、侵害
surpass	超える、勝る
ape	類人猿、大猿
geology	地質学、岩石の科学
tonic	強壮剤、健康促進剤
scarce	乏しい、不足している
elevate	上げる、昇進させる
stick with	に固執する、堅持する
nitrogen	窒素、化学元素
spectacular	壮観な、見事な
epoch	時代、歴史の節目
thermal	熱の、温度に関する
hold up	持ちこたえる、耐える
ironically	皮肉なことに、逆説的に
instructive	有益な、教育的な
infectious	伝染性の、感染する
metabolism	代謝、生体の化学反応
weaken	弱める、力を失う
unstable	不安定な、ゆらぎやすい
jump at	に飛びつく、すぐに受け入れる
sincere	誠実な、真剣な
awkward	ぎこちない、不器用な
plead	懇願する、お願いする
multinational	多国籍の、複数の国籍からなる
tolerant	寛容な、容認する
wilderness	荒野、未開の地
stand over	を監督する、延期する
microbial	微生物の、細菌の
ivory	象牙、象牙質の
hold out	持ちこたえる、我慢する
prohibit	禁じる、禁止する
slaughter	虐殺、大量殺戮
disastrous	悲惨な、惨事な
eruption	噴火、爆発
pick over	吟味して選ぶ、選び抜く
under warranty	保証期間中、保証されている
profitable	利益のある、収益性の高い
durable	耐久性のある、長持ちする
warranty	保証、保障
dismissal	解散、解任
administrative	運営の、管理の
replicate	複製する、再現する
sue	訴える、訴訟を起こす
burglar	強盗、泥棒
mortality	死亡者数、死亡率
hierarchy	階層、階級
feasible	実行可能な、可能性のある
density	密度、濃度
squalor	不潔、汚さ
cramped	狭苦しい、窮屈な
adverse	反対の、逆の
exclusive	閉鎖的な、内向的な
put an end to	を終わらせる、終了させる
edible	食べられる、摂取可能な
envelop	包む、包装する
sustenance	食糧、食料
aptly	適切に、適当に
premature	時期尚早の、早まった
clean cut	きちんとした、整然とした
parasite	寄生虫、寄生生物
ugly	醜い、見苦しい
deliberate	故意の、意図的な
smear	塗る、塗布する
wedge	くさび、楔形体
despicable	卑劣な、下劣な
stab	刺す、突き刺す
anecdotal	逸話の、物語性のある
whitewash	しっくい、モルタル
appalling	ぞっとするような、気味の悪い
fraternity	友愛、友情
supplant	取って代わる、置き換える
multiply	掛け算する、乗算する
intrinsic	本質的な、基本的な
diagnosis	診断、判断
cosmic	宇宙の、宙域の
progressive	進歩、進展
willingness	意欲、意志
strictly	厳密に、厳しく
integrity	誠実さ、誠意
microscope	顕微鏡
array	整列させる、並べる
evade	避ける、逃れる
pile in	どっと中に入る、一気に入る
overwhelm	圧倒する、制圧する
hunch	直感、本能
morbid	病的な、病気の
forensic	法廷の、裁判所の
convict	有罪とする、罪を宣告する
ply	精を出す、努力する
forefront	最前部、前線
unconscious	無意識の、潜在意識の
staunch	堅い、硬い
exploration	探査、探索
hasty	急ぐ、急ぎ足で
hostile	敵意のある、反感を持つ
pile up	を積み上げる、積み重ねる
provider	生産者、製造者
prestige	名声、評判
liver	肝臓
catch up	遅れを取り戻す、追いつく、遅延を補う
reimbursement	返済、返金
resent	憤る、怒る
frankly	率直に、直接的に
envious	羨ましい、うらやましい
face off	対決する、向き合う、立ち向かう
fraction	分数、小数
browse	拾い読みする、一部読む
seal	密閉する、封鎖する
norm	規範、基準
naval	海軍の、海軍のもの
speak for	を代弁する、の代理で話す、言い表す
versatile	多才な、多能な
surveillance	監視、見守り
submarine	潜水艦、水中艇
grain	穀物、穀類
prediction	予測、予想
rust	錆び、酸化
consult	相談する、話し合う
pill	丸薬、錠剤
potent	効能のある、効果的な
esoteric	秘儀の、神秘的な
remarkably	著しく、非常に
inspiration	ひらめき、閃き
comparable	比較できる、比べられる
supplier	供給者、供給元
supervisor	上司、長上
peg	くぎ、釘
regardless of	にも関わらず、それにもかかわらず
tighten	締める、絞る
force down	を無理やり飲み込む、強いて飲み込む
ambitious	野心的な、大志を抱く
quest	探求、探究
see through	を見抜く、見通す、透視する
mundane	平凡な、普通の
stay in touch with	と連絡を取り続ける、絶えず連絡する
logistics	調達路、供給路
vicinity	近所、近隣
throw off	を投げ捨てる、放り出す
eternal	永遠の、永遠不変の
mandatory	強制的な、強制力のある
diversity	多様性、多様化
go under	失敗する、破産する、失敗に終わる
not surprisingly	当たり前の事だが、もちろんのことだが
linguistic	言語学、語学
availability	可用性、利用可能性
latitude	緯度、緯線
equator	赤道、赤線
boast	自慢する、誇示する
rainfall	降雨量、雨量
diverse	多様な、多種多様な
barren	実を結ばない、結果を出さない
brink	瀬戸際、切羽詰まった状態
take on	を雇う、引き受ける、採用する
turmoil	騒動、混乱、騒ぎ
brutality	残忍性、冷酷さ、非情さ
prosper	繁栄する、発展する
successive	連続する、続ける、続く
mold	鋳型、型どる、型作り
fall through	失敗に終わる、駄目になる、台無しになる
conform to	に順応する、慣れる、適応する
stability	安定、平穏、均衡
insistence	主張、信条
toxic	有毒な、毒性の、毒のある
stand up to	に抵抗する、耐える、反抗する
excel	勝る、優れる、上回る
spectrum	波長分布、光の分布
detrimental	有害な、害のある、悪影響のある
modulate	調整する、微調整する、整合する
moderate	適度な、適切な、ほどよい
downright	真っすぐな、徹底的な、一貫した
bring off	を成し遂げる、達成する、完成させる
hedge	垣根、障壁、障害物
fall for	に夢中になる、騙される、引きつけられる
interact	相互作用する、互いに影響を与える
correctly	正しく、適切に
