as a result	結果として
however	しかしながら、どんなに～でも
environment	環境
reduce	を減らす、縮小する
instead	代わりに、その代わり
in order to	～するために
vehicle	乗り物、車
recommend	を推薦する、を勧める
improve	を改善する、改良する
recently	最近、このごろ
customer	顧客、お客様
discover	を発見する、見つける
common	共通の、共同の
in particular	特に、とりわけ
disturb	を阻害する、（人の）邪魔をする
moreover	さらに、その上
not only A but also B	AだけでなくBもまた
a number of	たくさんの
be likely to	する可能性が高い、しそうになる
benefit	利益／に利益をもたらす
deal with	に対処する
solution	解決法、解明
inform	情報を与える、に知らせる
disease	病気、疾患
therefore	それゆえ、だから
unfortunately	残念なことに、不幸にも
device	装置、仕掛け
attractive	魅力的な、興味をそそる
climate	気候
end up	最終的に、することになる
evidence	証拠
estimate	を推定する、評価する
argue	だと主張する、感情的に論じる
according to	によると
meanwhile	一方で、他方で
entirely	完全に、全く
publish	を出版する、発行する
melt	溶ける、を溶かす
expense	費用、出費、犠牲
contain	を含む、が入っている
similar	似ている、類似の
government	政府、行政府、内閣
modern	現代的な、現代の
million	100万
scientist	科学者
pollution	汚染、汚れ
foundation	土台、根拠、設立
remove	を取り除く、を除去する
compare	を比較する、をたとえる
replace	を取り換える、を交換する
lead to	に導く、～につながる
furthermore	さらに、その上
result in	結果として、結果～になる
profit	利益、もうけ
remain	のままである、残る
organize	を組織する、を編成する
suffer from	で苦しむ、悩まされる
emphasize	を強調する、力説する
more and more	ますます多くの、更に
experiment	実験、試み
consume	を消費する、消耗する
development	発展、発達、開発
detect	を検出する、を感知する
extremely	極端に、過度に
employment	雇用
by chance	偶然に、たまたま
unlike	と異なって、とは違って
properly	適切に
repair	を修理する、修繕する
in addition	追加として、さらに
complicated	複雑な
until	までに、まで
on the other hand	一方で、他方で
arrest	を逮捕する、捕まえる
betray	を裏切る、をだます
survey	調査／を見渡す
affect	に影響を与える
consider	について考える、だと見なす
portable	持ち運べる、携帯用の
remind	に思い出させる、に気付かせる
ability	能力、力量
allow	を許可する、許す
quality	質、特性
construction	建設、構造、建造物
develop	を発達させる、を開発する
permission	許可、認可
mess	混乱、錯乱
convert	を変える、転換する
resident	住民、居住者
provide	を供給する、提供する
metal	金属
immediately	即座に
predict	を予想する、を予測する
religion	宗教、信仰
currency	通貨、流通
restore	を元に戻す、を修復する
accompany	に付き添う、に同行する
in detail	詳細に
no longer	もはや～でない
nevertheless	にも関わらず
probably	おそらく
in contrast	対照的に、これに対して
for instance	例えば
additionally	加えて、さらに、追加で
anxiety	心配、不安
for example	例えば
brain	頭脳、脳
certain	ある、確信している
pain	痛み、苦痛
in response to	に応じて、に反応して
stare at	をじっと見つめる
involve	を含む、を巻き込む
at the same time	同時に、一斉に
preserved	保存された
be known as	として知られている
accurate	正確な、的確な
analyze	を分析する、分解する
a variety of	いろいろな、さまざまな
obtain	を手に入れる、を獲得する
sympathy	同情、思いやり
flexibility	しなやかさ、弾力性、柔軟性
approach	に近づく、接近する
manage	何とかうまくやる、管理を行う
reach out	手を延ばす、手を差し出す
for fear of	を恐れて
on behalf of	の代わりに
on account of	のため
artificial	人工的な、人造の
prevent A from B	AをBから防ぐ
rather than	よりむしろ、ではなくて
slightly	わずかに、少し
measure	措置、測るもの／を測る
be born with	生まれつき、生来の
waste	を浪費する／浪費、廃棄物
since then	それ以来、それ以降
turn A into B	AをBに（質的に）変える
fertilizer	肥料
made of	で出来ている
adopt	を自分のものにする、を取り入れる
raise	を上げる、持ち上げる
avoid	を避ける、を回避する
make sure	を確かめる、必ず手配する
participate in	に参加する
achieve	を達成する、到達する
tolerate	に耐える、寛大に取り扱う
journey	旅、旅行
get along	うまくやる、仲良くやる
keep up with	に遅れず付いていく
production	生産、製造
cell	細胞
such as	のような
complete	完全な、全部の
annually	毎年の、年一回ずつ
psychologist	心理学者
invest in	に投資する
demand	要求、需要／を要求する
respond	反応する、と返答する
valuable	貴重な、価値のある
witness	目撃者、証人／を目撃する
poverty	貧困、貧乏
embarrass	を恥ずかしがらせる
enlarge	を拡大する
ingredient	材料、原料、成分
overall	全体的な、全部の
spend	を費やす、使う
purchase	を購入する／購入
brilliant	優れた、光り輝く
revolution	革命
in charge of	の担当をして
previously	以前は、前もって
feature	特徴／を目玉とする
excuse	言い訳／を許す
rely on	に頼る、を当てにする
vote for	に賛成する、に投票する
decrease	減少する、を減らす／減少
frequent	頻繁な、しばしば起こる
theory	理論、学説
gravity	重力、引力
translate	を翻訳する、通訳する
equipment	装置、設備
rare	まれな、珍しい
decide	決心する、解決する
bank account	銀行口座
amount	量、額
constant	絶え間ない、一定の
efficient	効率のいい
available	利用できる
particular	特定の
locate	見つける、位置を突きとめる
recommendation	推薦
apply to	に適用する
politely	丁寧に
accidentally	誤って、知らずに
satisfy	を満足させる
appointment	予定、約束
chemical	化学物質／化学の
attach	を貼り付ける
permit	を許可する
prevent	を妨げる、予防する
increase	を増やす、増大させる
luxury	贅沢な／贅沢
decade	10年間
enormous	非常に大きい
replacement	置換
in touch	連絡中、連絡が取れて
confuse	を混乱させる、区別がつかない
produce	を生産する、産出する
economy	経済、節約
celebrate	祝う、祝福する
cope with	に対処する
imitate	模倣する、真似る
assignment	割り当て
certainly	確かに、間違いなく
behave	振る舞う
instrument	楽器
temporary	一時的な
capable of	ができる、可能で
arrange	整える、を配置する
occasion	特定の時、行事、祭典
take after	をまねる、に似る
guilty of	罪を犯して
work out	練習する、運動する
promote	を促進する
electricity	電力、電気
composer	作曲家
creature	生き物
substance	物質、実態
graduate	を卒業する
furniture	家具
medicine	薬
at last	ついに、やっと
attitude	態度
borrow	を借りる
sufficient	十分な、足りている
hear from	から便りがある、連絡をもらう
directly	直接、直接的に
historic	由緒のある、歴史に残る
barely	かろうじて、やっと
delete	を削除する、消す
urgent	緊急の
generous	気前のよい、寛容な
cruel	残酷な、ひどい
celebration	お祝い、祝典
reflection	反響、反射
concept	概念、観念
whisper	ささやく、を耳打ちする
deposit	お金を預ける、を預金する
apology	謝罪
deceive	を欺く
establish	を設立する、創設する
endure	を我慢する、耐える
dispose	廃棄する
statistics	統計
compromise	妥協、和解
terminal	終りの、末端の
formation	形成、構成
envelope	封筒
quarrel	喧嘩、口論、言い争い
handle	を手で扱う、に対処する／取っ手
condition	状態、条件
punish	を罰する、懲らしめる
from time to time	時々
in demand	需要のある
stand out	目立つ、すぐれている
in the meantime	とりあえず、それまでは
to some extent	いくらか、ある程度
at any cost	どんな犠牲を払っても、何がなんでも
on the contrary	その反対で、それどころか
lose face	面子を失う、恥をかく
answer for	責任を負う、引き受ける
insist on	するように強く求める、強調する
despite	にも関わらず
worth	の価値がある、（～するに）値する
not always	必ずしもではない、いつもとは限らない
spread	を広げる、広がる
at that time	あの時は
in common	共通して
be affected by	の影響を受ける
luckily	幸いなことに、幸運にも
not yet	まだ
in response	に応じて、に対応して
have effects on	に影響を与える
taste	味／な味がする
in advance	前もって、事前に
confident	自信のある
one day	ある日、いつか
five senses	五感
sight	見ること、視力
electric	電気の
receive	を受理する、受け取る
ankle	足首
related to	に関連する
fear	を恐れる、恐がる／恐れ
active	活動的な、活気のある
lesser	より少ない、いっそう少ない
degree	程度、度
effect	効果、影響、結果
cause	原因／の原因となる
particularly	特に、とりわけ
suffer	を患う、苦しむ
immune	免疫の、免疫のある
disorder	無秩序、混乱
mental	精神の、心の
physical	身体の、肉体の
intend to	するつもりである、する意図がある
at present	現在は
make a difference	違いを生む
opportunity	機会、好機
on purpose	故意に、わざと
exceptionally	例外的に、非常に
almost	ほとんど、たいてい
characteristic	特有の、独特の
similar to	に似ている
as to	に関して
civilization	文明
represent	を表す、を代表する
collapse	崩壊する、つぶれる
insult	を侮辱する
mixture	混合物
isolated	孤立した、隔離された
punctual	規則正しい、時間通りの
responsible	責任がある、責任が伴う
frightened	恐ろしかった
guarantee	を保証する／保証
blame	を非難する
anniversary	～周年、記念日
violate	違反する
delay	を遅らせる、先延ばしにする
surround	を取り囲む、を包囲する
immigrate	移住する
correct	正確な／を訂正する
landscape	風景、眺め
instinct	直感、本能、勘
policy	政策、方針
obviously	明らかに、明白に
strangely	不思議なことに、奇妙に
chase	を追跡する、追いかける／追跡
pour	を注ぐ、激しく降る
at one time	一度に
all the way	はるばる、わざわざ
show up	現れる
pull away	引き離す
try out	を試す、十分に試してみる
break into	に押し入る
call it a day	終了する、仕事を切り上げる
be awake	目を覚ましている
issue	問題、（雑誌などの）号
elderly	年配の
brightness	輝度、明るさ
have an effect on	に影響を及ぼす
indoor	室内／屋内の
senior	ポストが上の、上級の／年上の人
natural	当然の、自然の
be adjusted to	に調整する
specific	具体的な、特定の
heart rate	心拍数
be beneficial to	に有益である
what is called	いわゆる
symmetry	対称、左右対称
each other	お互い
advantage	有利、利点
knee	膝
check for	を調べる
after all	結局
over time	超過勤務、延長時間
What is more	さらに、その上
for some time	しばらくの間
at a time	1度に
parking lot	駐車場
all around the world	世界中の
copyright	著作権
charge	非難、料金、管理／に請求する
director	監督、指導者、役員
in reality	実際に、現実に
actually	実際に、現実に
compose	を構成する、作曲する
greet	を出迎える、に挨拶する
depend on	に頼る
claim to do	することを主張する
agree with	に賛成である
it is common to hear	を聞くのが一般的です
temple	お寺
heritage	遺産
abroad	外国で、外国へ
population	人口、国民
bring	持って来る、連れてくる
environmental	環境の
throw away	廃棄する
garbage	生ゴミ、くず
come up with	を思いつく、を考え出す
environmentally	環境的に
council	議会、会議
carry out	を成し遂げる
fuel	燃料
process	過程／を加工処理する
up to	～まで
turn into	に変わる
