famous	有名な
weekend	週末に
soon	まもなく、すぐに
still	まだ
popular	人気の
practice	練習する
during	～の間
enjoy	楽しむ
favorite	お気に入りの
sell	を売る
bring	持って来る
expensive	高価な、費用のかかる
join	参加する
so	とても
leave	去る、残す、置いて行く
enough	十分な
happen	起こる
different	違った
invite	招待する
how about	はどうですか？
plan	計画する
ask	たずねる
until	まで、までは
almost	ほとんど
sick	病気の
excited	興奮した
science	科学
library	図書館
visit	訪問する
cheap	安い
then	その時
show	見せる
instead	その代わりに
what about	～はどうですか
garden	庭
look for	を探す
meet	会う
because of	～のために
by	のそばに、によって
stay	滞在する
hope	望む
delicious	おいしい
together	一緒に
decide	決心する
later	後に
festival	祭り
vacation	休暇
own	自分の
noon	正午
important	重要な
remember	思い出す
nervous	あがっている
look	見る
weather	天気
in front of	の前に
have to	～しなければならない
grow	育てる
carry	運ぶ
heavy	重い
need to	～する必要がある
a lot of	たくさんの
sure	確信して
arrive	到着する
over there	あそこに
borrow	借りる
place	場所
break	壊れる、破る
June	6月
usually	普通は
win	勝つ
healthy	健康な
sign	標識
one day	ある日
maybe	たぶん
how often	どのぐらいの頻度
hurt	を傷つける
dictionary	辞書
put	置く
try on	試着する
difficult	難しい
be interested in	に興味がある
when	～するとき
beside	横に
strong	強い
believe	信じる
sad	悲しい
should	～すべきである
clock	置き時計
million	100万
bright	明るい
again	もう一度、再び、また
hear	聞く
look forward to	～を楽しみにする
cook	料理する
drive	運転する
face	顔
get	得る
find	見つける
lake	湖
really	本当に
sometimes	時々
exciting	興奮させる
write	書く、手紙を書く
make	作る、～を～にする
tall	高い
guess	推測する
between A and B	AとBの間
July	7月
information	情報
pay	支払う
season	季節
already	すでに、もう
sold out	売り切れ
take care of	の面倒を見る
March	3月
wear	着る
university	大学
math	数学
people	人々
lots of	たくさんの
care	注意する、世話する
invent	を発明する
large	大きい、広い
get married	結婚する
city hall	市庁舎
bank	銀行
prize	賞
save	節約する
on weekends	週末に
clothes	服
museum	博物館
be born	生まれる
choose	選ぶ
cousin	いとこ
everywhere	どこでも
plant	植物
try	試す
if	もし～なら
another	もう一つの
take part in	に参加する
meaning	意味
hit	打つ
angry	怒った、腹を立てた
map	地図
be proud of	を誇りに思う
dirty	汚い
each other	お互いに
promise	約束
problem	問題
who	だれ
what	何
how	どのぐらい
customer	顧客
once	かつて
twice	2回
salt	塩
hurry up	急ぐ
notice	気づく
collect	集める
accident	事故
more than	より多い
cost	費用
star	星、スター
keep	を保つ
late	遅い
cold	冷たい
food	食べ物
order	注文する
clean	きれいな
right away	直ちに、すぐに
trip	旅行
far from	～から遠い
zoo	動物園
wash	洗う
pick up	拾う
fun	楽しみ
grandfather	祖父
travel	旅行する
other	他の
attention	注意
husband	夫
international	国際的な
interesting	面白い
often	しばしば、よく
boring	つまらない
glad	うれしい
below	下に、下記に
turn	曲がる、回る、変化する
wide	幅の広い
loud	騒がしい
amazing	驚くべき
price	値段
each	各々の
talk about	について話す
right	右に
anyway	ともかく
worry	心配させる
hard	一生懸命に
award	賞
ocean	大洋、海
draw	描く
drink	飲む
bakery	パン屋
busy	忙しい
tonight	今夜は
cloudy	曇った
wrong	間違った
think	考える
subject	科目、題目
become	～になる
enter	入る
imagine	を想像する
without	～なしに
through	を通り抜けて
since	～以来
horizon	地平線、水平線
turn on	を点ける
turn off	を消す
buy	買う
celebrate	祝う
be afraid of	を恐れる
rule	支配、統治
get off	降りる
wallet	財布
run away	逃げ去る
ride	乗る
in the future	将来に
scientist	科学者
rainy	雨降りの
rise	昇る
steal	盗む
mirror	鏡
stay with	～と一緒に過ごす
while	～する間
work for	のために働く
feel	感じる
quick	速い
ever	今まで
be good at	～が上手である
local	地元の
lend	貸す
environment	環境
hole	穴
explain	説明する
finger	指
head	頭
hand	手
shape	形
think of	思い付く
country	国
company	会社
taste	味
spend	費やす
in fact	実際には
visitor	観光客
boil	ゆでる、煮る
history	歴史
grew	育った
joined	参加した
letter	手紙
why	なぜ
Saturday	土曜日
Friday	金曜日
advice	忠告
Wednesday	水曜日
few	いくつかの
piece	欠片、一部
went	行った
understand	理解する
reason	理由
pick	選ぶ
peaceful	平和な
handle	を処理する
round	まわりに
thirsty	のどの乾いた
same	同じ
be different from	異なる
more	もっと
purpose	目的
let's	～しよう
just a moment	少しの間
vegetable	野菜
May	5月
date	日付
February	2月
such	そのような
talk to	に話しかける
wife	妻
move	動く、引っ越す
daughter	娘
always	いつも
be kind to	～に親切にする
everyone	みんな
agree with	に賛成である
fix	固定する
side	側、面
hungry	空腹の
here	ここに
last	ひとつ前の、最後の
headache	頭痛
mountain	山
anywhere	どこでも
brush	をみがく
